timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0.060955047607421875,-8552.0,-21912.0,-15080.0,-674.0,-807.0,-1414.0,40.0,15404.0,-20652.0,-214.0,1494.0,72.0
0.17955517768859863,-8120.0,-21040.0,-14400.0,-2298.0,-94.0,-123.0,436.0,15724.0,-20036.0,-1100.0,2048.0,935.0
0.23926329612731934,-7548.0,-22024.0,-15068.0,-1162.0,-2481.0,542.0,152.0,14904.0,-20500.0,-3253.0,570.0,-238.0
0.3645334243774414,-7368.0,-21948.0,-15688.0,-620.0,-4596.0,-1438.0,2284.0,13436.0,-19620.0,-4028.0,-312.0,-4226.0
0.4801762104034424,-6080.0,-23028.0,-15256.0,-1679.0,-4007.0,-4961.0,2088.0,11848.0,-20220.0,-2911.0,1548.0,-9993.0
0.5396177768707275,-5032.0,-24680.0,-15628.0,-4365.0,-2785.0,-6481.0,-2404.0,10328.0,-22328.0,-1945.0,6369.0,-11130.0
0.6598756313323975,-5916.0,-21080.0,-16048.0,388.0,-6894.0,-5753.0,280.0,7540.0,-18960.0,-2862.0,5416.0,-13713.0
0.7794771194458008,-2652.0,-22760.0,-16528.0,2741.0,-7430.0,-5511.0,1832.0,5212.0,-20264.0,976.0,-9442.0,-14666.0
0.8404054641723633,60.0,-22988.0,-15344.0,613.0,-5572.0,-4614.0,-492.0,708.0,-20948.0,2044.0,1447.0,-14311.0
0.9594295024871826,-1304.0,-22340.0,-16784.0,-3178.0,1082.0,-5790.0,332.0,-72.0,-21692.0,1313.0,3636.0,-8357.0
1.0793085098266602,-2720.0,-23536.0,-16144.0,-1600.0,2569.0,-3550.0,884.0,1360.0,-21512.0,784.0,548.0,-2800.0
1.1395673751831055,-980.0,-24124.0,-15868.0,-1598.0,2962.0,260.0,-1748.0,672.0,-23244.0,-281.0,2860.0,2657.0
1.2593629360198975,-1188.0,-21908.0,-15584.0,-3023.0,2040.0,3426.0,-1160.0,3080.0,-23508.0,-4403.0,7450.0,9325.0
1.3795785903930664,-1796.0,-22196.0,-18308.0,-314.0,-4018.0,6456.0,2172.0,3412.0,-23440.0,-6230.0,4157.0,12274.0
1.4415130615234375,-1064.0,-21384.0,-17136.0,-617.0,504.0,6954.0,4052.0,2804.0,-22352.0,-2954.0,1548.0,11684.0
1.5682382583618164,-1480.0,-22844.0,-15772.0,-1135.0,1301.0,1745.0,4192.0,4016.0,-21548.0,435.0,491.0,5680.0
