epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2509.72,0.91306,0.43056,0.84934,0.93564,0.92763,0.93812,0.70101,0.86665,0.39741,0.83928,0.000378143,0.000378143,0.000378143
43,2569.2,0.91414,0.43264,0.85093,0.94942,0.91324,0.93226,0.68913,0.8866,0.40938,0.84238,0.000369324,0.000369324,0.000369324
44,2630.65,0.90943,0.42865,0.85017,0.93802,0.92485,0.93665,0.68573,0.87433,0.40411,0.83955,0.000360433,0.000360433,0.000360433
45,2692.02,0.90063,0.42539,0.84774,0.94206,0.92415,0.9374,0.6881,0.88704,0.40058,0.84099,0.000351479,0.000351479,0.000351479
46,2752.91,0.90732,0.42416,0.85034,0.94302,0.92098,0.93917,0.69702,0.88023,0.40134,0.84275,0.000342472,0.000342472,0.000342472
47,2813.9,0.8928,0.42205,0.8472,0.93904,0.92441,0.93637,0.69602,0.87268,0.39985,0.84022,0.000333419,0.000333419,0.000333419
48,2877.46,0.88919,0.41406,0.84348,0.94209,0.9269,0.93733,0.7002,0.88575,0.40015,0.84296,0.000324331,0.000324331,0.000324331
49,2936.46,0.89147,0.41633,0.84519,0.94365,0.92412,0.9381,0.69535,0.87363,0.40667,0.84083,0.000315216,0.000315216,0.000315216
50,2995.63,0.89203,0.41238,0.8449,0.94103,0.91659,0.93396,0.6944,0.87448,0.39851,0.8405,0.000306082,0.000306082,0.000306082
51,3055.97,0.88137,0.41049,0.84512,0.93776,0.91505,0.93247,0.69141,0.86795,0.39351,0.839,0.00029694,0.00029694,0.00029694
52,3116.76,0.87635,0.40797,0.84483,0.95562,0.9074,0.93264,0.69655,0.87434,0.3916,0.8418,0.000287798,0.000287798,0.000287798
