timestamp_ms,ax,ay,az,gx,gy,gz
0,1780983846,-9.445099830627441,0.05270000174641609,-0.8834999799728394,-0.031199999153614044,-0.0340999998152256,-0.024000000208616257
10,1780983846,-9.464300155639648,0.08619999885559082,-0.8212000131607056,-0.028200000524520874,-0.03539999946951866,-0.02239999920129776
20,1780983846,-9.514599800109863,0.07900000363588333,-0.7900999784469604,-0.019200000911951065,-0.03060000017285347,-0.018400000408291817
30,1780983846,-9.528900146484375,0.05990000069141388,-0.7684999704360962,0.0007999999797903001,-0.0357000008225441,-0.014100000262260437
40,1780983846,-9.493000030517578,0.0478999987244606,-0.7373999953269958,0.023399999365210533,-0.04050000011920929,-0.0031999999191612005
50,1780983846,-9.540900230407715,0.03830000013113022,-0.7207000255584717,0.04320000112056732,-0.038600001484155655,-0.002899999963119626
60,1780983846,-9.445099830627441,0.02630000002682209,-0.7253999710083008,0.05460000038146973,-0.03700000047683716,-0.006099999882280827
70,1780983846,-9.433199882507324,0.06700000166893005,-0.8163999915122986,0.07859999686479568,-0.03539999946951866,-0.00989999994635582
80,1780983846,-9.471500396728516,0.03830000013113022,-0.8834999799728394,0.10019999742507935,-0.03280000016093254,-0.02449999935925007
90,1780983846,-9.480999946594238,-0.009600000455975533,-0.8738999962806702,0.09700000286102295,-0.037300001829862595,-0.03539999946951866
100,1780983846,-9.528900146484375,0.03590000048279762,-0.955299973487854,0.09009999781847,-0.042399998754262924,-0.03620000183582306
110,1780983846,-9.540900230407715,0.08139999955892563,-0.9505000114440918,0.09009999781847,-0.04639999940991402,-0.032999999821186066
120,1780983846,-9.52649974822998,0.05270000174641609,-0.9887999892234802,0.09059999883174896,-0.049300000071525574,-0.024000000208616257
130,1780983846,-9.507399559020996,0.002400000113993883,-1.0032000541687012,0.08389999717473984,-0.050599999725818634,-0.01889999955892563
140,1780983846,-9.445099830627441,0.002400000113993883,-1.082200050354004,0.08529999852180481,-0.04019999876618385,-0.02879999950528145
150,1780983846,-9.437899589538574,0.01679999940097332,-1.1540000438690186,0.09459999948740005,-0.0272000003606081,-0.040800001472234726
160,1780983846,-9.404399871826172,0.0215000007301569,-1.2330000400543213,0.11320000141859055,-0.03280000016093254,-0.053599998354911804
170,1780983846,-9.425999641418457,0.03590000048279762,-1.3551000356674194,0.14579999446868896,-0.05139999836683273,-0.0697999969124794
180,1780983846,-9.406800270080566,0.06939999759197235,-1.5657999515533447,0.18889999389648438,-0.08420000225305557,-0.09650000184774399
190,1780983846,-9.471500396728516,0.12449999898672104,-1.7933000326156616,0.2522999942302704,-0.12070000171661377,-0.12549999356269836
200,1780983846,-9.521699905395508,0.04309999942779541,-2.1068999767303467,0.3292999863624573,-0.16680000722408295,-0.17319999635219574
210,1780983846,-9.675000190734863,-0.07900000363588333,-2.4707999229431152,0.3831999897956848,-0.1647000014781952,-0.2434999942779541
220,1780983846,-9.849699974060059,-0.26820001006126404,-2.954400062561035,0.4058000147342682,-0.11779999732971191,-0.29820001125335693
230,1780983846,-10.134699821472168,-0.40700000524520874,-3.4667999744415283,0.37779998779296875,-0.049300000071525574,-0.34689998626708984
240,1780983846,-10.493800163269043,-0.5649999976158142,-4.209000110626221,0.3549000024795532,-0.01810000091791153,-0.366100013256073
250,1780983846,-10.70930004119873,-0.8021000027656555,-5.030200004577637,0.3450999855995178,-0.04610000178217888,-0.3292999863624573
260,1780983846,-11.042099952697754,-1.173200011253357,-6.117199897766113,0.3230000138282776,-0.11479999870061874,-0.25099998712539673
270,1780983846,-11.453900337219238,-1.5585999488830566,-7.742800235748291,0.2549999952316284,-0.27549999952316284,-0.1371999979019165
280,1780983846,-11.992600440979004,-2.2553000450134277,-10.105899810791016,0.0031999999191612005,-0.5852000117301941,0.06930000334978104
290,1780983846,-12.447500228881836,-3.272900104522705,-13.08430004119873,-0.6525999903678894,-1.0673999786376953,0.3756999969482422
300,1780983846,-12.902400016784668,-4.367000102996826,-16.44339942932129,-1.8508000373840332,-1.697100043296814,0.7348999977111816
310,1780983846,-13.29259967803955,-5.571300029754639,-19.797700881958008,-3.6659998893737793,-2.268399953842163,1.0986000299453735
320,1780983846,-12.732399940490723,-7.469900131225586,-21.488000869750977,-5.896500110626221,-2.370699882507324,1.1979999542236328
330,1780983846,-12.059599876403809,-10.199299812316895,-23.252500534057617,-8.474599838256836,-2.348299980163574,1.211300015449524
340,1780983846,-11.525699615478516,-13.567899703979492,-25.017000198364258,-8.731399536132812,-2.3173999786376953,1.341599941253662
350,1780983846,-10.833800315856934,-18.62689971923828,-25.179800033569336,-8.731399536132812,-2.4000000953674316,1.6979000568389893
