timestamp_ms,ax,ay,az,gx,gy,gz
0,1780983846,1.0534000396728516,-1.910599946975708,8.954299926757812,-0.02239999920129776,0.014399999752640724,-0.04050000011920929
10,1780983846,1.0439000129699707,-1.9057999849319458,9.016599655151367,-0.031700000166893005,0.0348999984562397,-0.02979999966919422
20,1780983846,1.0391000509262085,-1.9129999876022339,9.042900085449219,-0.03519999980926514,0.06849999725818634,-0.01549999974668026
30,1780983846,0.955299973487854,-1.9416999816894531,9.019000053405762,-0.03359999880194664,0.09459999948740005,-0.0010999999940395355
40,1780983846,0.8666999936103821,-1.9082000255584717,8.963899612426758,-0.030400000512599945,0.09780000150203705,0.012299999594688416
50,1780983846,0.7972999811172485,-1.917799949645996,8.963899612426758,-0.031199999153614044,0.08900000154972076,0.019700000062584877
60,1780983846,0.7373999953269958,-1.9416999816894531,8.982999801635742,-0.03280000016093254,0.05249999836087227,0.019500000402331352
70,1780983846,0.7325999736785889,-2.0062999725341797,9.023699760437012,-0.026599999517202377,-0.01759999990463257,0.013899999670684338
80,1780983846,0.7660999894142151,-2.0566000938415527,9.078800201416016,-0.00559999980032444,-0.09189999848604202,0.0003000000142492354
90,1780983846,0.9433000087738037,-2.059000015258789,9.10509967803955,0.02500000037252903,-0.14659999310970306,-0.014100000262260437
100,1780983846,1.0988999605178833,-1.9919999837875366,9.107500076293945,0.050599999725818634,-0.15850000083446503,-0.019700000062584877
110,1780983846,1.2640999555587769,-1.8913999795913696,9.097999572753906,0.05920000001788139,-0.11240000277757645,-0.008799999952316284
120,1780983846,1.304800033569336,-1.8579000234603882,9.042900085449219,0.049800001084804535,-0.03139999881386757,0.007199999876320362
130,1780983846,1.30239999294281,-1.7933000326156616,8.997400283813477,0.03009999915957451,0.06449999660253525,0.02879999950528145
140,1780983846,1.2066999673843384,-1.7908999919891357,8.947099685668945,0.009600000455975533,0.13379999995231628,0.04340000078082085
150,1780983846,1.0414999723434448,-1.8387000560760498,8.939900398254395,0.0031999999191612005,0.15610000491142273,0.04529999941587448
160,1780983846,0.9146000146865845,-1.8626999855041504,8.928000450134277,0.012000000104308128,0.12099999934434891,0.03759999945759773
170,1780983846,0.955299973487854,-1.8866000175476074,8.8681001663208,0.026900000870227814,0.061000000685453415,0.02800000086426735
180,1780983846,1.0439000129699707,-1.8794000148773193,8.89210033416748,0.0364999994635582,0.01730000041425228,0.021800000220537186
190,1780983846,1.1013000011444092,-1.8674999475479126,8.954299926757812,0.031199999153614044,-0.018699999898672104,0.00559999980032444
200,1780983846,1.1899000406265259,-1.9321000576019287,8.951899528503418,0.030400000512599945,-0.05040000006556511,-0.012299999594688416
210,1780983846,1.2474000453948975,-1.9608999490737915,8.997400283813477,0.03519999980926514,-0.053599998354911804,-0.031700000166893005
220,1780983846,1.3071999549865723,-1.90339994430542,9.026100158691406,0.03620000183582306,-0.0340999998152256,-0.05119999870657921
230,1780983846,1.30239999294281,-1.9200999736785889,9.033300399780273,0.0357000008225441,0.005900000222027302,-0.0568000003695488
240,1780983846,1.2305999994277954,-1.951300024986267,8.987799644470215,0.0357000008225441,0.055399999022483826,-0.04769999906420708
250,1780983846,1.1109000444412231,-1.936900019645691,8.959099769592285,0.039400000125169754,0.11029999703168869,-0.02930000051856041
260,1780983846,0.960099995136261,-1.9297000169754028,8.985400199890137,0.043699998408555984,0.1379999965429306,-0.018699999898672104
270,1780983846,0.8547000288963318,-1.9321000576019287,8.97350025177002,0.052799999713897705,0.1242000013589859,-0.019700000062584877
280,1780983846,0.7804999947547913,-1.9392999410629272,8.942299842834473,0.0737999975681305,0.06769999861717224,-0.026100000366568565
290,1780983846,0.7638000249862671,-1.90339994430542,8.906399726867676,0.09510000050067902,-0.009100000374019146,-0.032999999821186066
300,1780983846,0.8906000256538391,-1.843500018119812,8.8681001663208,0.1039000004529953,-0.07109999656677246,-0.04050000011920929
310,1780983846,1.048699975013733,-1.7645000219345093,8.851400375366211,0.0917000025510788,-0.09489999711513519,-0.04740000143647194
320,1780983846,1.1850999593734741,-1.7071000337600708,8.860899925231934,0.06499999761581421,-0.06849999725818634,-0.053300000727176666
330,1780983846,1.2736999988555908,-1.718999981880188,8.860899925231934,0.03840000182390213,0.0005000000237487257,-0.0551999993622303
340,1780983846,1.2640999555587769,-1.728600025177002,8.8681001663208,0.018699999898672104,0.07670000195503235,-0.052000001072883606
350,1780983846,1.082200050354004,-1.7548999786376953,8.858499526977539,0.005900000222027302,0.131400004029274,-0.04740000143647194
360,1780983846,0.864300012588501,-1.7645000219345093,8.820199966430664,0.004000000189989805,0.1324000060558319,-0.04479999840259552
370,1780983846,0.7038999795913696,-1.7836999893188477,8.827400207519531,0.012000000104308128,0.0917000025510788,-0.04560000076889992
380,1780983846,0.646399974822998,-1.826799988746643,8.865699768066406,0.02879999950528145,0.024000000208616257,-0.05570000037550926
390,1780983846,0.7110999822616577,-1.8507000207901,8.827400207519531,0.052000001072883606,-0.042899999767541885,-0.06129999831318855
400,1780983846,0.9002000093460083,-1.8028000593185425,8.791500091552734,0.0575999990105629,-0.06419999897480011,-0.0560000017285347
410,1780983846,1.1325000524520874,-1.7309999465942383,8.81309986114502,0.031199999153614044,-0.016300000250339508,-0.038600001484155655
420,1780983846,1.2305999994277954,-1.7094999551773071,8.832200050354004,-0.015699999406933784,0.07670000195503235,-0.01489999983459711
430,1780983846,1.1181000471115112,-1.7789000272750854,8.901599884033203,-0.05380000174045563,0.14790000021457672,-0.0035000001080334187
440,1780983846,1.0104000568389893,-1.819599986076355,8.947099685668945,-0.0729999989271164,0.1639000028371811,-0.012799999676644802
450,1780983846,0.984000027179718,-1.8626999855041504,9.083600044250488,-0.08049999922513962,0.16040000319480896,-0.03539999946951866
460,1780983846,0.984000027179718,-1.9416999816894531,9.229599952697754,-0.08309999853372574,0.16760000586509705,-0.04960000142455101
470,1780983846,0.9121999740600586,-2.0016000270843506,9.50979995727539,-0.08470000326633453,0.17159999907016754,-0.05119999870657921
480,1780983846,0.8284000158309937,-2.1068999767303467,9.741999626159668,-0.0737999975681305,0.16249999403953552,-0.05009999871253967
490,1780983846,0.8475000262260437,-2.176300048828125,10.031700134277344,-0.054099999368190765,0.14259999990463257,-0.05119999870657921
500,1780983846,0.9121999740600586,-2.3224000930786133,10.38599967956543,-0.04259999841451645,0.14149999618530273,-0.055399999022483826
510,1780983846,1.0319000482559204,-2.5522000789642334,10.855299949645996,-0.06400000303983688,0.17239999771118164,-0.0737999975681305
520,1780983846,1.082200050354004,-2.8155999183654785,11.554400444030762,-0.10689999908208847,0.18889999389648438,-0.13750000298023224
530,1780983846,1.1276999711990356,-3.2609000205993652,12.51930046081543,-0.13830000162124634,0.14790000021457672,-0.2345000058412552
