timestamp_ms,ax,ay,az,gx,gy,gz
0,1780993661,1.6999000310897827,-3.749300003051758,8.635899543762207,-0.020800000056624413,0.007199999876320362,0.012000000104308128
10,1780993661,1.6424000263214111,-3.7302000522613525,8.578399658203125,-0.0027000000700354576,-0.0015999999595806003,0.008799999952316284
20,1780993661,1.601699948310852,-3.682300090789795,8.532899856567383,0.014700000174343586,-0.002099999925121665,0.008799999952316284
30,1780993661,1.5657999515533447,-3.631999969482422,8.544899940490723,0.019999999552965164,-0.00430000014603138,0.013299999758601189
40,1780993661,1.5850000381469727,-3.677500009536743,8.518600463867188,0.02319999970495701,-0.011699999682605267,0.012299999594688416
50,1780993661,1.628100037574768,-3.7109999656677246,8.532899856567383,0.027400000020861626,-0.020800000056624413,0.004800000227987766
60,1780993661,1.6160999536514282,-3.675100088119507,8.422800064086914,0.028999999165534973,-0.019999999552965164,0.002099999925121665
70,1780993661,1.6496000289916992,-3.6679000854492188,8.353400230407715,0.01489999983459711,0.008299999870359898,0.010099999606609344
80,1780993661,1.6471999883651733,-3.7158000469207764,8.305500030517578,-0.015699999406933784,0.04179999977350235,0.02290000021457672
90,1780993661,1.5442999601364136,-3.6847000122070312,8.295900344848633,-0.0544000007212162,0.06260000169277191,0.039400000125169754
100,1780993661,1.4891999959945679,-3.744499921798706,8.341400146484375,-0.08129999786615372,0.066600002348423,0.05169999971985817
110,1780993661,1.4747999906539917,-3.80679988861084,8.520999908447266,-0.08659999817609787,0.053599998354911804,0.06530000269412994
120,1780993661,1.5154999494552612,-3.7899999618530273,8.700499534606934,-0.06870000064373016,0.025599999353289604,0.07029999792575836
130,1780993661,1.62090003490448,-3.7971999645233154,8.767600059509277,-0.022099999710917473,-0.006899999920278788,0.05299999937415123
140,1780993661,1.6999000310897827,-3.77810001373291,8.750800132751465,0.041600000113248825,-0.0357000008225441,0.021800000220537186
150,1780993661,1.7502000331878662,-3.682300090789795,8.583200454711914,0.09030000120401382,-0.050599999725818634,-0.012500000186264515
160,1780993661,1.6783000230789185,-3.576900005340576,8.422800064086914,0.10949999839067459,-0.06369999796152115,-0.039400000125169754
170,1780993661,1.6783000230789185,-3.552999973297119,8.295900344848633,0.10369999706745148,-0.07779999822378159,-0.05299999937415123
180,1780993661,1.7381999492645264,-3.5553998947143555,8.152299880981445,0.08179999887943268,-0.06289999932050705,-0.05040000006556511
190,1780993661,1.7309999465942383,-3.533799886703491,8.087599754333496,0.03539999946951866,-0.009600000455975533,-0.02930000051856041
200,1780993661,1.7071000337600708,-3.5936999320983887,8.075599670410156,-0.018400000408291817,0.05040000006556511,0.004800000227987766
210,1780993661,1.62090003490448,-3.682300090789795,8.17140007019043,-0.06340000033378601,0.09430000185966492,0.03999999910593033
220,1780993661,1.510699987411499,-3.720599889755249,8.341400146484375,-0.08150000125169754,0.10180000215768814,0.05730000138282776
230,1780993661,1.4508999586105347,-3.744499921798706,8.456299781799316,-0.06549999862909317,0.07090000063180923,0.05009999871253967
240,1780993661,1.4292999505996704,-3.725399971008301,8.501799583435059,-0.025299999862909317,0.017100000753998756,0.026100000366568565
250,1780993661,1.4460999965667725,-3.65120005607605,8.475500106811523,0.014399999752640724,-0.03889999911189079,0.0005000000237487257
260,1780993661,1.520300030708313,-3.62719988822937,8.32699966430664,0.03999999910593033,-0.08609999716281891,-0.021800000220537186
270,1780993661,1.6999000310897827,-3.6487998962402344,8.15939998626709,0.03620000183582306,-0.09780000150203705,-0.0348999984562397
280,1780993661,1.817199945449829,-3.624799966812134,8.123499870300293,-0.004000000189989805,-0.04879999905824661,-0.019999999552965164
290,1780993661,1.8028000593185425,-3.6008999347686768,8.23840045928955,-0.061799999326467514,0.024000000208616257,0.017100000753998756
300,1780993661,1.8530999422073364,-3.6798999309539795,8.360600471496582,-0.1062999963760376,0.09059999883174896,0.04800000041723251
310,1780993661,1.8602999448776245,-3.751699924468994,8.49940013885498,-0.12630000710487366,0.14659999310970306,0.07779999822378159
320,1780993661,1.8482999801635742,-3.823499917984009,8.635899543762207,-0.13670000433921814,0.19930000603199005,0.09539999812841415
330,1780993661,1.836400032043457,-4.000699996948242,8.73639965057373,-0.15060000121593475,0.2526000142097473,0.11110000312328339
340,1780993661,1.73580002784729,-4.189899921417236,8.901599884033203,-0.15610000491142273,0.28700000047683716,0.12070000171661377
350,1780993661,1.6256999969482422,-4.393400192260742,9.1697998046875,-0.16519999504089355,0.2915000021457672,0.11590000241994858
360,1780993661,1.6304999589920044,-4.7428998947143555,9.531299591064453,-0.18569999933242798,0.28060001134872437,0.11159999668598175
370,1780993661,1.7979999780654907,-5.3414998054504395,10.024499893188477,-0.2434999942779541,0.30300000309944153,0.1363999992609024
380,1780993661,2.0134999752044678,-5.954400062561035,10.793100357055664,-0.36959999799728394,0.44179999828338623,0.21610000729560852
390,1780993661,1.7764999866485596,-6.9766998291015625,12.136199951171875,-0.5789999961853027,0.6093999743461609,0.31200000643730164
400,1780993661,1.405400037765503,-8.784299850463867,14.267000198364258,-0.7742999792098999,0.7473999857902527,0.40610000491142273
410,1780993661,0.5914000272750854,-11.291099548339844,17.618900299072266,-0.7042999863624573,0.9197999835014343,0.567300021648407
