timestamp_ms,ax,ay,az,gx,gy,gz
0,1780652263,-9.040499687194824,-0.49799999594688416,0.4812000095844269,0.053599998354911804,-0.04639999940991402,-0.02319999970495701
10,1780652263,-8.992600440979004,-0.3734999895095825,0.45489999651908875,0.06159999966621399,-0.02370000071823597,-0.021800000220537186
20,1780652263,-9.030900001525879,-0.24660000205039978,0.45969998836517334,0.04820000007748604,-0.0019000000320374966,-0.031199999153614044
30,1780652263,-9.045299530029297,-0.1890999972820282,0.41179999709129333,0.019200000911951065,0.012799999676644802,-0.05299999937415123
40,1780652263,-9.033300399780273,-0.20589999854564667,0.39259999990463257,-0.013899999670684338,0.02930000051856041,-0.07509999722242355
50,1780652263,-9.074000358581543,-0.26579999923706055,0.40220001339912415,-0.042100001126527786,0.040800001472234726,-0.0885000005364418
60,1780652263,-9.119500160217285,-0.328000009059906,0.4645000100135803,-0.05920000001788139,0.04820000007748604,-0.09860000014305115
70,1780652263,-9.19849967956543,-0.45969998836517334,0.5242999792098999,-0.06080000102519989,0.04580000042915344,-0.10819999873638153
80,1780652263,-9.313400268554688,-0.5339000225067139,0.5242999792098999,-0.043699998408555984,0.0364999994635582,-0.1225999966263771
90,1780652263,-9.413999557495117,-0.49320000410079956,0.6152999997138977,-0.019200000911951065,0.017100000753998756,-0.14339999854564667
100,1780652263,-9.469099998474121,-0.3495999872684479,0.656000018119812,0.002400000113993883,-0.0019000000320374966,-0.16949999332427979
110,1780652263,-9.490599632263184,-0.2921000123023987,0.656000018119812,0.01119999960064888,-0.008799999952316284,-0.19660000503063202
120,1780652263,-9.56719970703125,-0.3328000009059906,0.6822999715805054,0.01679999940097332,-0.0031999999191612005,-0.21819999814033508
130,1780652263,-9.677399635314941,-0.36390000581741333,0.7159000039100647,0.027400000020861626,0.01489999983459711,-0.23340000212192535
140,1780652263,-9.809000015258789,-0.31360000371932983,0.7207000255584717,0.037300001829862595,0.042899999767541885,-0.2467000037431717
150,1780652263,-10.046099662780762,-0.26579999923706055,0.7325999736785889,0.055399999022483826,0.07410000264644623,-0.25450000166893005
160,1780652263,-10.366900444030762,-0.1867000013589859,0.7087000012397766,0.07750000059604645,0.10499999672174454,-0.26269999146461487
170,1780652263,-10.817000389099121,-0.05270000174641609,0.6728000044822693,0.10530000180006027,0.13940000534057617,-0.2840000092983246
180,1780652263,-11.35569953918457,0.26579999923706055,0.5938000082969666,0.1324000060558319,0.16599999368190765,-0.30480000376701355
190,1780652263,-11.973400115966797,0.651199996471405,0.5770000219345093,0.1379999965429306,0.18170000612735748,-0.29120001196861267
200,1780652263,-12.708399772644043,0.964900016784668,0.5099999904632568,0.12099999934434891,0.19050000607967377,-0.23499999940395355
210,1780652263,-13.524800300598145,1.096500039100647,0.423799991607666,0.09809999912977219,0.18440000712871552,-0.15189999341964722
220,1780652263,-14.475299835205078,1.0582000017166138,0.4142000079154968,0.06080000102519989,0.16329999268054962,-0.06629999727010727
230,1780652263,-15.739500045776367,0.8978000283241272,0.49320000410079956,0.024800000712275505,0.10660000145435333,0.010400000028312206
240,1780652263,-17.068300247192383,0.5673999786376953,0.7445999979972839,-0.0052999998442828655,0.014100000262260437,0.09189999848604202
250,1780652263,-18.502399444580078,-0.1867000013589859,1.2450000047683716,-0.058400001376867294,-0.006099999882280827,0.22460000216960907
260,1780652263,-19.81920051574707,-1.5778000354766846,1.702299952507019,-0.09669999778270721,0.006099999882280827,0.46230000257492065
270,1780652263,-20.712200164794922,-3.2202000617980957,2.116499900817871,-0.024000000208616257,0.042399998754262924,0.8543000221252441
280,1780652263,-21.011499404907227,-4.32390022277832,2.0541999340057373,0.15189999341964722,0.12359999865293503,1.3779000043869019
290,1780652263,-20.68829917907715,-4.5370001792907715,1.6496000289916992,0.4032000005245209,0.24459999799728394,1.9484000205993652
300,1780652263,-20.403400421142578,-3.9719998836517334,1.4077999591827393,0.588100016117096,0.43059998750686646,2.4658000469207764
310,1780652263,-20.961200714111328,-3.770900011062622,1.5467000007629395,0.6078000068664551,0.6184999942779541,2.942500114440918
320,1780652263,-21.887800216674805,-4.510700225830078,1.5729999542236328,0.6000999808311462,0.6804999709129333,3.4667000770568848
330,1780652263,-22.519899368286133,-5.588099956512451,1.2258000373840332,0.6470000147819519,0.5939000248908997,4.113900184631348
340,1780652263,-22.618000030517578,-6.598400115966797,0.5554999709129333,0.7253000140190125,0.4341000020503998,4.836599826812744
