timestamp_ms,ax,ay,az,gx,gy,gz
0,1780993661,-8.60949993133545,-0.9577000141143799,4.024700164794922,-0.01119999960064888,-0.11379999667406082,0.08500000089406967
10,1780993661,-8.496999740600586,-0.9577000141143799,4.036600112915039,0.07460000365972519,-0.1054999977350235,0.10580000281333923
20,1780993661,-8.3725004196167,-1.0511000156402588,3.9600000381469727,0.1436000019311905,-0.04769999906420708,0.1006999984383583
30,1780993661,-8.286299705505371,-1.048699975013733,3.825900077819824,0.1662999987602234,0.04479999840259552,0.08049999922513962
40,1780993661,-8.264800071716309,-1.096500039100647,3.670300006866455,0.1559000015258789,0.13539999723434448,0.061799999326467514
50,1780993661,-8.336600303649902,-1.1588000059127808,3.608099937438965,0.11460000276565552,0.17749999463558197,0.03840000182390213
60,1780993661,-8.403599739074707,-1.0988999605178833,3.550600051879883,0.04769999906420708,0.1673000007867813,0.028999999165534973
70,1780993661,-8.446700096130371,-0.979200005531311,3.5243000984191895,-0.011500000022351742,0.12870000302791595,0.03620000183582306
80,1780993661,-8.418000221252441,-0.9169999957084656,3.5913000106811523,-0.03840000182390213,0.07699999958276749,0.04399999976158142
90,1780993661,-8.418000221252441,-0.8906000256538391,3.5985000133514404,-0.04320000112056732,0.029600000008940697,0.050599999725818634
100,1780993661,-8.40839958190918,-0.8834999799728394,3.608099937438965,-0.028200000524520874,-0.011500000022351742,0.04690000042319298
110,1780993661,-8.513799667358398,-0.9312999844551086,3.682300090789795,-0.002400000113993883,-0.04769999906420708,0.05249999836087227
120,1780993661,-8.611900329589844,-0.9577000141143799,3.763700008392334,0.038100000470876694,-0.07970000058412552,0.06449999660253525
130,1780993661,-8.597599983215332,-0.974399983882904,3.7613000869750977,0.07940000295639038,-0.09109999984502792,0.07410000264644623
140,1780993661,-8.49940013885498,-0.9577000141143799,3.6415998935699463,0.09650000184774399,-0.07349999994039536,0.07490000128746033
150,1780993661,-8.406000137329102,-0.9025999903678894,3.495500087738037,0.07829999923706055,-0.0272000003606081,0.0697999969124794
160,1780993661,-8.386899948120117,-0.8738999962806702,3.406899929046631,0.03460000082850456,0.023399999365210533,0.06289999932050705
170,1780993661,-8.303099632263184,-0.8356000185012817,3.2848000526428223,-0.023399999365210533,0.05810000002384186,0.05889999866485596
180,1780993661,-8.346199989318848,-0.8906000256538391,3.311199903488159,-0.08340000361204147,0.06499999761581421,0.05249999836087227
190,1780993661,-8.386899948120117,-0.9241999983787537,3.3208000659942627,-0.1444000005722046,0.04129999876022339,0.049300000071525574
