timestamp_ms,ax,ay,az,gx,gy,gz
0,1780983846,-9.045299530029297,-1.7548999786376953,2.2864999771118164,-0.039400000125169754,-0.05649999901652336,-0.010900000110268593
10,1780983846,-9.045299530029297,-1.6758999824523926,2.291300058364868,-0.066600002348423,-0.07649999856948853,0.008799999952316284
20,1780983846,-9.014200210571289,-1.6375999450683594,2.2672998905181885,-0.08709999918937683,-0.07109999656677246,0.022600000724196434
30,1780983846,-8.99020004272461,-1.5921000242233276,2.315200090408325,-0.10180000215768814,-0.04659999907016754,0.02850000001490116
40,1780983846,-8.947099685668945,-1.5562000274658203,2.3248000144958496,-0.10999999940395355,-0.013100000098347664,0.03460000082850456
50,1780983846,-8.901599884033203,-1.5537999868392944,2.382200002670288,-0.1071000024676323,0.0272000003606081,0.0348999984562397
60,1780983846,-8.856200218200684,-1.5968999862670898,2.3966000080108643,-0.10369999706745148,0.05649999901652336,0.038100000470876694
70,1780983846,-8.793899536132812,-1.618499994277954,2.446899890899658,-0.1006999984383583,0.0681999996304512,0.04179999977350235
80,1780983846,-8.753199577331543,-1.6615999937057495,2.482800006866455,-0.09009999781847,0.07109999656677246,0.03680000081658363
90,1780983846,-8.71969985961914,-1.6712000370025635,2.506700038909912,-0.0706000030040741,0.06549999862909317,0.026900000870227814
100,1780983846,-8.717300415039062,-1.7309999465942383,2.499500036239624,-0.050599999725818634,0.04690000042319298,0.002899999963119626
110,1780983846,-8.717300415039062,-1.7453999519348145,2.4779999256134033,-0.0348999984562397,0.00989999994635582,-0.018400000408291817
120,1780983846,-8.770000457763672,-1.7884999513626099,2.4588000774383545,-0.026399999856948853,-0.04050000011920929,-0.025599999353289604
130,1780983846,-8.82979965209961,-1.7812999486923218,2.408600091934204,-0.026100000366568565,-0.09700000286102295,-0.02500000037252903
140,1780983846,-8.798700332641602,-1.7812999486923218,2.4228999614715576,-0.04340000078082085,-0.1348000019788742,-0.014399999752640724
150,1780983846,-8.76039981842041,-1.7717000246047974,2.4228999614715576,-0.07249999791383743,-0.13300000131130219,-0.0015999999595806003
160,1780983846,-8.73639965057373,-1.7525999546051025,2.4421000480651855,-0.09030000120401382,-0.10499999672174454,-0.008299999870359898
170,1780983846,-8.758000373840332,-1.7573000192642212,2.4972000122070312,-0.10100000351667404,-0.0674000009894371,-0.010400000028312206
180,1780983846,-8.822600364685059,-1.8243999481201172,2.592900037765503,-0.09700000286102295,-0.032499998807907104,-0.019700000062584877
190,1780983846,-8.923199653625488,-1.7861000299453735,2.600100040435791,-0.07670000195503235,-0.019999999552965164,-0.027699999511241913
200,1780983846,-8.98069953918457,-1.7596999406814575,2.624000072479248,-0.04800000041723251,-0.0272000003606081,-0.01810000091791153
210,1780983846,-8.994999885559082,-1.7573000192642212,2.607300043106079,-0.02500000037252903,-0.040800001472234726,0.0
220,1780983846,-8.985400199890137,-1.7861000299453735,2.5473999977111816,-0.010900000110268593,-0.05570000037550926,0.01360000018030405
230,1780983846,-8.89210033416748,-1.7668999433517456,2.463599920272827,-0.01600000075995922,-0.0674000009894371,0.026100000366568565
240,1780983846,-8.8681001663208,-1.8076000213623047,2.401400089263916,-0.03779999911785126,-0.09220000356435776,0.040800001472234726
250,1780983846,-8.796299934387207,-1.8051999807357788,2.3559000492095947,-0.06849999725818634,-0.12280000001192093,0.054099999368190765
