timestamp_ms,ax,ay,az,gx,gy,gz
0,1780983846,2.837100028991699,3.998300075531006,7.951099872589111,-0.005100000184029341,0.06870000064373016,-0.08340000361204147
10,1780983846,2.7030999660491943,3.955199956893921,7.924799919128418,-0.01119999960064888,0.1582999974489212,-0.09189999848604202
20,1780983846,2.5905001163482666,3.976799964904785,7.917600154876709,-0.022600000724196434,0.20730000734329224,-0.10130000114440918
30,1780983846,2.437299966812134,4.065400123596191,7.951099872589111,-0.0568000003695488,0.2289000004529953,-0.10419999808073044
40,1780983846,2.1979000568389893,4.048600196838379,8.027799606323242,-0.10289999842643738,0.21690000593662262,-0.11460000276565552
50,1780983846,1.9631999731063843,3.9217000007629395,8.17140007019043,-0.11749999970197678,0.15060000121593475,-0.13619999587535858
60,1780983846,1.829200029373169,3.7899999618530273,8.319899559020996,-0.10180000215768814,0.05860000103712082,-0.14659999310970306
70,1780983846,1.8315999507904053,3.734999895095825,8.410799980163574,-0.06949999928474426,-0.026100000366568565,-0.14020000398159027
80,1780983846,1.9154000282287598,3.720599889755249,8.451499938964844,-0.02879999950528145,-0.08470000326633453,-0.1225999966263771
90,1780983846,2.0852999687194824,3.737299919128418,8.456299781799316,0.015699999406933784,-0.10610000044107437,-0.093299999833107
100,1780983846,2.276900053024292,3.8666000366210938,8.415599822998047,0.04019999876618385,-0.07750000059604645,-0.06400000303983688
110,1780983846,2.389400005340576,3.926500082015991,8.355799674987793,0.061000000685453415,-0.0203000009059906,-0.053599998354911804
120,1780983846,2.4349000453948975,3.9168999195098877,8.307900428771973,0.08370000123977661,0.052799999713897705,-0.05040000006556511
130,1780983846,2.28410005569458,3.8714001178741455,8.264800071716309,0.10450000315904617,0.11159999668598175,-0.049300000071525574
140,1780983846,2.0685999393463135,3.8092000484466553,8.123499870300293,0.13699999451637268,0.13030000030994415,-0.04659999907016754
150,1780983846,1.9297000169754028,3.8164000511169434,8.003800392150879,0.17430000007152557,0.125,-0.03759999945759773
160,1780983846,1.8866000175476074,3.8977999687194824,7.869699954986572,0.19130000472068787,0.10100000351667404,-0.01759999990463257
170,1780983846,1.8651000261306763,4.000699996948242,7.828999996185303,0.1899999976158142,0.07010000199079514,0.0007999999797903001
180,1780983846,1.9297000169754028,4.182700157165527,7.785900115966797,0.16519999504089355,0.03460000082850456,0.010900000110268593
190,1780983846,1.9297000169754028,4.283199787139893,7.754799842834473,0.11349999904632568,-0.0031999999191612005,0.00559999980032444
200,1780983846,1.9608999490737915,4.1875,7.730899810791016,0.0729999989271164,-0.02449999935925007,-0.007699999958276749
210,1780983846,2.0494000911712646,4.082099914550781,7.726099967956543,0.05220000073313713,-0.024800000712275505,-0.008799999952316284
220,1780983846,2.094899892807007,3.8857998847961426,7.639900207519531,0.04820000007748604,0.007499999832361937,0.010400000028312206
230,1780983846,2.116499900817871,3.787600040435791,7.532199859619141,0.06949999928474426,0.059700001031160355,0.037300001829862595
240,1780983846,2.094899892807007,3.8187999725341797,7.25439977645874,0.0892999991774559,0.11219999939203262,0.06239999830722809
250,1780983846,2.020699977874756,3.751699924468994,6.878499984741211,0.1031000018119812,0.15770000219345093,0.07970000058412552
260,1780983846,2.020699977874756,3.581700086593628,6.421199798583984,0.10339999943971634,0.20810000598430634,0.13910000026226044
270,1780983846,1.9082000255584717,3.33270001411438,5.736499786376953,0.08529999852180481,0.2809000015258789,0.24089999496936798
280,1780983846,0.974399983882904,2.6048998832702637,4.359799861907959,0.09489999711513519,0.326200008392334,0.4442000091075897
290,1780983846,0.21549999713897705,2.2744998931884766,2.5450000762939453,-0.007199999876320362,0.31439998745918274,0.8145999908447266
300,1780983846,-0.6800000071525574,1.9800000190734863,-0.007199999876320362,-0.24699999392032623,0.21050000190734863,1.2049000263214111
310,1780983846,-1.1899000406265259,1.3384000062942505,-3.7685000896453857,-0.5550000071525574,0.03840000182390213,1.6411000490188599
320,1780983846,-0.2824999988079071,1.7884999513626099,-8.226499557495117,-1.030900001525879,-0.23019999265670776,2.101099967956543
330,1780983846,1.8770999908447266,3.7158000469207764,-12.782600402832031,-1.8969000577926636,-0.093299999833107,2.4658000469207764
340,1780983846,5.87060022354126,5.7006001472473145,-16.984500885009766,-3.3308000564575195,0.7276999950408936,2.585200071334839
350,1780983846,9.071599960327148,7.525000095367432,-20.875,-5.206099987030029,2.5527000427246094,2.2934000492095947
360,1780983846,9.354100227355957,6.95989990234375,-25.340200424194336,-7.371200084686279,5.124300003051758,1.754699945449829
370,1780983846,6.449999809265137,3.675100088119507,-29.046499252319336,-8.731399536132812,7.703400135040283,1.0996999740600586
380,1780983846,-1.2522000074386597,-2.245800018310547,-30.93549919128418,-8.731399536132812,8.731200218200684,0.23639999330043793
390,1780983846,-7.295100212097168,-9.095600128173828,-31.909900665283203,-8.731399536132812,8.050399780273438,-0.939300000667572
400,1780983846,-7.905700206756592,-14.777000427246094,-30.15019989013672,-8.731399536132812,5.677499771118164,-2.1837000846862793
410,1780983846,-3.6440000534057617,-19.589399337768555,-27.466299057006836,-8.731399536132812,3.4839999675750732,-3.541800022125244
