timestamp_ms,ax,ay,az,gx,gy,gz
0,1780983846,-0.2921000123023987,0.5770000219345093,8.844200134277344,0.018400000408291817,0.0066999997943639755,-0.02290000021457672
10,1780983846,-0.2824999988079071,0.5698000192642212,8.911199569702148,-0.019500000402331352,0.007499999832361937,-0.03009999915957451
20,1780983846,-0.3328000009059906,0.5601999759674072,8.985400199890137,-0.05009999871253967,0.0015999999595806003,-0.0364999994635582
30,1780983846,-0.3734999895095825,0.5291000008583069,9.12909984588623,-0.0575999990105629,-0.010400000028312206,-0.032999999821186066
40,1780983846,-0.3734999895095825,0.531499981880188,9.246399879455566,-0.04560000076889992,-0.00989999994635582,-0.03139999881386757
50,1780983846,-0.39500001072883606,0.49079999327659607,9.246399879455566,-0.02239999920129776,0.005900000222027302,-0.021299999207258224
60,1780983846,-0.46209999918937683,0.5052000284194946,9.306300163269043,0.009100000374019146,0.00930000003427267,-0.008299999870359898
70,1780983846,-0.423799991607666,0.5507000088691711,9.31820011138916,0.04450000077486038,-0.002400000113993883,0.006399999838322401
80,1780983846,-0.3831000030040741,0.5961999893188477,9.205699920654297,0.06499999761581421,-0.021800000220537186,0.024000000208616257
90,1780983846,-0.323199987411499,0.6104999780654907,9.1003999710083,0.06019999831914902,-0.03680000081658363,0.032999999821186066
100,1780983846,-0.2969000041484833,0.6104999780654907,9.076399803161621,0.0340999998152256,-0.04500000178813934,0.03060000017285347
110,1780983846,-0.2728999853134155,0.5938000082969666,9.097999572753906,0.004000000189989805,-0.05139999836683273,0.02449999935925007
120,1780983846,-0.24660000205039978,0.6176999807357788,9.148200035095215,-0.01600000075995922,-0.04960000142455101,0.023399999365210533
130,1780983846,-0.22030000388622284,0.5698000192642212,9.186599731445312,-0.01679999940097332,-0.05119999870657921,0.01889999955892563
140,1780983846,-0.2345999926328659,0.5052000284194946,9.253600120544434,-0.008299999870359898,-0.04560000076889992,0.015699999406933784
150,1780983846,-0.22269999980926514,0.5148000121116638,9.270299911499023,0.004800000227987766,-0.035999998450279236,0.01119999960064888
160,1780983846,-0.22269999980926514,0.5148000121116638,9.284700393676758,0.025800000876188278,-0.03440000116825104,0.013100000098347664
170,1780983846,-0.16519999504089355,0.5577999949455261,9.224900245666504,0.050599999725818634,-0.03920000046491623,0.014100000262260437
180,1780983846,-0.10530000180006027,0.5866000056266785,9.097999572753906,0.0658000037074089,-0.03200000151991844,0.010900000110268593
190,1780983846,-0.13410000503063202,0.5914000272750854,9.069199562072754,0.060499999672174454,-0.02370000071823597,0.010099999606609344
200,1780983846,-0.13650000095367432,0.6008999943733215,9.028499603271484,0.040800001472234726,-0.013100000098347664,0.013100000098347664
210,1780983846,-0.15800000727176666,0.6248999834060669,9.023699760437012,0.0272000003606081,-0.006399999838322401,0.017100000753998756
220,1780983846,-0.11969999969005585,0.6201000213623047,9.021400451660156,0.013100000098347664,-0.009100000374019146,0.01889999955892563
230,1780983846,-0.07900000363588333,0.5698000192642212,8.992600440979004,-0.003700000001117587,-0.013899999670684338,0.00559999980032444
240,1780983846,-0.0957999974489212,0.5577999949455261,9.064399719238281,-0.008500000461935997,-0.025299999862909317,0.0
250,1780983846,-0.12690000236034393,0.5530999898910522,9.074000358581543,-0.0010999999940395355,-0.0340999998152256,0.0027000000700354576
260,1780983846,-0.16760000586509705,0.536300003528595,9.102800369262695,0.012500000186264515,-0.042899999767541885,0.012299999594688416
270,1780983846,-0.16279999911785126,0.5170999765396118,9.152999877929688,0.02419999986886978,-0.05889999866485596,0.0210999995470047
280,1780983846,-0.13410000503063202,0.5386999845504761,9.126700401306152,0.0348999984562397,-0.07490000128746033,0.028999999165534973
290,1780983846,-0.10769999772310257,0.5794000029563904,9.066800117492676,0.0348999984562397,-0.07649999856948853,0.030899999663233757
300,1780983846,-0.07900000363588333,0.5866000056266785,9.074000358581543,0.025299999862909317,-0.07329999655485153,0.02239999920129776
310,1780983846,-0.12449999898672104,0.5435000061988831,9.152999877929688,0.01119999960064888,-0.06790000200271606,0.013899999670684338
320,1780983846,-0.13169999420642853,0.531499981880188,9.263199806213379,0.0066999997943639755,-0.060499999672174454,0.0052999998442828655
330,1780983846,-0.13410000503063202,0.5673999786376953,9.248800277709961,0.014399999752640724,-0.059700001031160355,-0.005900000222027302
340,1780983846,-0.1388999968767166,0.5507000088691711,9.152999877929688,0.023399999365210533,-0.05889999866485596,-0.013899999670684338
350,1780983846,-0.18199999630451202,0.5649999976158142,9.133899688720703,0.03060000017285347,-0.04179999977350235,-0.0272000003606081
360,1780983846,-0.1890999972820282,0.632099986076355,9.042900085449219,0.03359999880194664,-0.021800000220537186,-0.02879999950528145
370,1780983846,-0.16279999911785126,0.656000018119812,8.889699935913086,0.03009999915957451,-0.0007999999797903001,-0.02290000021457672
380,1780983846,-0.1412999927997589,0.656000018119812,8.786700248718262,0.01489999983459711,-0.003700000001117587,-0.01600000075995922
390,1780983846,-0.12690000236034393,0.6607999801635742,8.650300025939941,-0.012799999676644802,-0.026599999517202377,-0.006099999882280827
400,1780983846,-0.07419999688863754,0.6751999855041504,8.52810001373291,-0.042899999767541885,-0.053599998354911804,0.003700000001117587
410,1780983846,-0.019200000911951065,0.6607999801635742,8.422800064086914,-0.06710000336170197,-0.08259999752044678,0.008799999952316284
420,1780983846,0.08139999955892563,0.6583999991416931,8.233699798583984,-0.09730000048875809,-0.10100000351667404,0.008500000461935997
430,1780983846,0.15320000052452087,0.5914000272750854,8.054100036621094,-0.1387999951839447,-0.08789999783039093,-0.005900000222027302
440,1780983846,0.15800000727176666,0.5722000002861023,7.845799922943115,-0.18970000743865967,-0.06340000033378601,-0.0272000003606081
450,1780983846,0.21549999713897705,0.5507000088691711,7.596799850463867,-0.26109999418258667,-0.0560000017285347,-0.03759999945759773
460,1780983846,0.5673999786376953,0.5745999813079834,7.091599941253662,-0.3479999899864197,-0.049800001084804535,-0.05730000138282776
470,1780983846,1.2378000020980835,0.6225000023841858,6.074100017547607,-0.4510999917984009,-0.028999999165534973,-0.1404000073671341
480,1780983846,2.3248000144958496,0.8212000131607056,4.465199947357178,-0.6003000140190125,-0.04450000077486038,-0.31679999828338623
