timestamp_ms,ax,ay,az,gx,gy,gz
0,-0.9312999844551086,6.040599822998047,6.9527997970581055,-0.08370000123977661,-0.023399999365210533,0.024000000208616257
10,-0.864300012588501,5.999899864196777,6.947999954223633,-0.09059999883174896,-0.06480000168085098,0.03139999881386757
20,-0.8499000072479248,5.913700103759766,6.892899990081787,-0.08630000054836273,-0.11699999868869781,0.03779999911785126
30,-0.7494000196456909,5.868199825286865,6.825900077819824,-0.06129999831318855,-0.1363999992609024,0.04050000011920929
40,-0.5866000056266785,5.942399978637695,6.682199954986572,-0.03060000017285347,-0.14259999990463257,0.0364999994635582
50,-0.41179999709129333,6.002299785614014,6.524199962615967,-0.012299999594688416,-0.14659999310970306,0.03359999880194664
60,-0.30649998784065247,6.074100017547607,6.282400131225586,-0.0052999998442828655,-0.12680000066757202,0.027400000020861626
70,-0.2513999938964844,6.2129998207092285,6.0117998123168945,-0.01360000018030405,-0.08420000225305557,0.008799999952316284
80,-0.2393999993801117,6.342199802398682,5.825099945068359,-0.038600001484155655,-0.042399998754262924,-0.01810000091791153
90,-0.17479999363422394,6.387700080871582,5.631199836730957,-0.07779999822378159,-0.024800000712275505,-0.04529999941587448
100,-0.0982000008225441,6.438000202178955,5.377399921417236,-0.13079999387264252,-0.03139999881386757,-0.07090000063180923
110,0.045499999076128006,6.485899925231934,4.972799777984619,-0.19660000503063202,-0.03840000182390213,-0.10100000351667404
120,0.2824999988079071,6.538599967956543,4.486700057983398,-0.2734000086784363,-0.05700000002980232,-0.14180000126361847
130,0.6416000127792358,6.653500080108643,3.7588999271392822,-0.37439998984336853,-0.07029999792575836,-0.20489999651908875
140,1.0247000455856323,6.773200035095215,3.031100034713745,-0.49300000071525574,-0.07859999686479568,-0.27469998598098755
150,1.395799994468689,6.7708001136779785,2.166800022125244,-0.6341999769210815,-0.13269999623298645,-0.3312000036239624
160,1.7405999898910522,6.5218000411987305,1.2378000020980835,-0.7735000252723694,-0.23899999260902405,-0.39410001039505005
170,2.1547999382019043,6.270400047302246,0.3328000009059906,-0.9168999791145325,-0.38370001316070557,-0.45910000801086426
